1;Deep Mix;http://deepmix.ru/deepmix128.pls
2;Radio Ultra;http://mp3.nashe.ru/ultra-128.mp3.m3u
3;Swiss Jazz;http://www.radioswissjazz.ch/live/mp3.m3u
4;Nashe Radio;http://mp3.nashe.ru/nashe-128.mp3.m3u
5;WDR 5;http://www.wdr.de/wdrlive/media/wdr5.m3u
